Taxonomy_highest	Taxonomy_genus
Proteobacteria	Pseudoxanthobacter
Proteobacteria	Pseudoxanthomonas
Bacteroidetes	Pseudozobellia
Fusobacteria	Psychrilyobacter
Proteobacteria	Psychrobacter
Bacteroidetes	Psychroflexus
Proteobacteria	Psychromonas
Bacteroidetes	Psychroserpens
Proteobacteria	Psychrosphaera
Firmicutes	Pullulanibacillus
Verrucomicrobia	Puniceicoccus
Proteobacteria	Pusillimonas
Synergistetes	Pyramidobacter
Crenarchaeota	Pyrobaculum
Euryarchaeota	Pyrococcus
Proteobacteria	Pyxidicoccus
Actinobacteria	Quadrisphaera
Proteobacteria	Quatrionicoccus
Firmicutes	Quinella
Proteobacteria	Rahnella
Proteobacteria	Ralstonia
Proteobacteria	Ramlibacter
Proteobacteria	Raoultella
Bacteroidetes	Rapidithrix
Actinobacteria	Rarobacter
Actinobacteria	Rathayibacter
Bacteroidetes	Reichenbachiella
Proteobacteria	Reinekea
Actinobacteria	Renibacterium
Proteobacteria	Reyranella
Proteobacteria	Rheinheimera
Proteobacteria	Rhizobacter
Proteobacteria	Rhizobium
Proteobacteria	Rhizomicrobium
Proteobacteria	Rhodanobacter
Proteobacteria	Rhodobaca
Proteobacteria	Rhodobacter
Proteobacteria	Rhodobium
Proteobacteria	Rhodoblastus
Proteobacteria	Rhodocista
Actinobacteria	Rhodococcus
Proteobacteria	Rhodocyclus
Bacteroidetes	Rhodocytophaga
Proteobacteria	Rhodoferax
Actinobacteria	Rhodoglobus
Proteobacteria	Rhodomicrobium
Bacteroidetes	Rhodonellum
Proteobacteria	Rhodopila
Planctomycetes	Rhodopirellula
Proteobacteria	Rhodoplanes
Proteobacteria	Rhodopseudomonas
Proteobacteria	Rhodospirillum
Proteobacteria	Rhodothalassium
Bacteroidetes	Rhodothermus
Proteobacteria	Rhodovarius
Proteobacteria	Rhodovastum
Proteobacteria	Rhodovibrio
Proteobacteria	Rhodovulum
Proteobacteria	Rickettsia
Proteobacteria	Rickettsiella
Bacteroidetes	Riemerella
Bacteroidetes	Rikenella
Proteobacteria	Rivibacter
Cyanobacteria	Rivularia
Bacteroidetes	Robiginitalea
Proteobacteria	Robiginitomaculum
Firmicutes	Robinsoniella
Proteobacteria	Roseateles
Firmicutes	Roseburia
Proteobacteria	Roseibaca
Verrucomicrobia	Roseibacillus
Proteobacteria	Roseibacterium
Proteobacteria	Roseicyclus
Chloroflexi	Roseiflexus
Proteobacteria	Roseinatronobacter
Proteobacteria	Roseisalinus
Bacteroidetes	Roseivirga
Proteobacteria	Roseivivax
Proteobacteria	Roseobacter
Proteobacteria	Roseococcus
Proteobacteria	Roseomonas
Proteobacteria	Roseospira
Proteobacteria	Roseospirillum
Proteobacteria	Roseovarius
Actinobacteria	Rothia
Actinobacteria	Ruania
Proteobacteria	Rubellimicrobium
Cyanobacteria	Rubidibacter
Bacteroidetes	Rubidimonas
Proteobacteria	Rubribacterium
Bacteroidetes	Rubricoccus
Proteobacteria	Rubrimonas
Verrucomicrobia	Rubritalea
Proteobacteria	Rubritepida
Proteobacteria	Rubrivivax
Actinobacteria	Rubrobacter
Proteobacteria	Rudaea
Bacteroidetes	Rudanella
Proteobacteria	Ruegeria
Proteobacteria	Rugamonas
Actinobacteria	Rugosimonospora
Proteobacteria	Ruminobacter
Firmicutes	Ruminococcus
Firmicutes	Rummeliibacillus
Bacteroidetes	Runella
Firmicutes	Saccharibacillus
Proteobacteria	Saccharibacter
Firmicutes	Saccharofermentans
Actinobacteria	Saccharomonospora
Proteobacteria	Saccharophagus
Actinobacteria	Saccharopolyspora
Proteobacteria	Saccharospirillum
Actinobacteria	Saccharothrix
Proteobacteria	Sagittula
Actinobacteria	Salana
Euryarchaeota	Salarchaeum
Bacteroidetes	Salegentibacter
Bacteroidetes	Salibacter
Proteobacteria	Salicola
Firmicutes	Salimicrobium
Proteobacteria	Salinarimonas
Firmicutes	Salinibacillus
Bacteroidetes	Salinibacter
Actinobacteria	Salinibacterium
Firmicutes	Salinicoccus
Proteobacteria	Salinicola
Proteobacteria	Salinihabitans
Bacteroidetes	Salinimicrobium
Proteobacteria	Salinimonas
Proteobacteria	Salinisphaera
Actinobacteria	Salinispora
Proteobacteria	Salinivibrio
Proteobacteria	Salipiger
Firmicutes	Salirhabdus
Bacteroidetes	Salisaeta
Proteobacteria	Salmonella
Firmicutes	Salsuginibacillus
Proteobacteria	Sandaracinobacter
Proteobacteria	Sandaracinus
Proteobacteria	Sandarakinorhabdus
Actinobacteria	Sanguibacter
Bacteroidetes	Saprospira
Firmicutes	Sarcina
Actinobacteria	Saxeibacter
Actinobacteria	Scardovia
Proteobacteria	Schlegelella
Planctomycetes	Schlesneria
Actinobacteria	Schumannella
Firmicutes	Schwartzia
Actinobacteria	Sciscionella
Cyanobacteria	Scytonema
Fusobacteria	Sebaldella
Firmicutes	Sedimentibacter
Proteobacteria	Sedimenticola
Firmicutes	Sediminibacillus
Bacteroidetes	Sediminibacter
Bacteroidetes	Sediminibacterium
Bacteroidetes	Sediminicola
Actinobacteria	Sediminihabitans
Proteobacteria	Sediminimonas
Bacteroidetes	Sediminitomix
Bacteroidetes	Segetibacter
Actinobacteria	Segniliparus
Firmicutes	Selenihalanaerobacter
Firmicutes	Selenomonas
Proteobacteria	Seohaeicola
Actinobacteria	Serinibacter
Actinobacteria	Serinicoccus
Proteobacteria	Serratia
Firmicutes	Sharpea
Proteobacteria	Shewanella
Proteobacteria	Shigella
Firmicutes	Shimazuella
Proteobacteria	Shimia
Proteobacteria	Shimwellia
Proteobacteria	Shinella
Firmicutes	Shuttleworthia
Proteobacteria	Sideroxydans
Proteobacteria	Silanimonas
Proteobacteria	Silvimonas
Proteobacteria	Simiduia
Chlamydiae	Simkania
Proteobacteria	Simonsiella
Proteobacteria	Simplicispira
Proteobacteria	Singularimonas
Planctomycetes	Singulisphaera
Firmicutes	Sinobaca
Proteobacteria	Sinobacter
Actinobacteria	Sinomonas
Proteobacteria	Sinorhizobium
Bacteroidetes	Siphonobacter
Proteobacteria	Skermanella
Actinobacteria	Skermania
Actinobacteria	Slackia
Actinobacteria	Smaragdicoccus
Proteobacteria	Smithella
Fusobacteria	Sneathia
Proteobacteria	Sneathiella
Cyanobacteria	Snowella
Proteobacteria	Sodalis
Firmicutes	Soehngenia
Firmicutes	Solibacillus
Proteobacteria	Solimonas
Actinobacteria	Solirubrobacter
Bacteroidetes	Solitalea
Firmicutes	Solobacterium
Actinobacteria	Solwaraspora
Bacteroidetes	Soonwooa
Proteobacteria	Sorangium
Actinobacteria	Sphaerisporangium
Chloroflexi	Sphaerobacter
Cyanobacteria	Sphaerospermopsis
Proteobacteria	Sphaerotilus
Bacteroidetes	Sphingobacterium
Proteobacteria	Sphingobium
Proteobacteria	Sphingomonas
Proteobacteria	Sphingopyxis
Proteobacteria	Sphingosinicella
Bacteroidetes	Sphingoterrabacterium
Actinobacteria	Spirilliplanes
Actinobacteria	Spirillospora
Spirochaetes	Spirochaeta
Tenericutes	Spiroplasma
Bacteroidetes	Spirosoma
Cyanobacteria	Spirulina
Proteobacteria	Spongiispira
Firmicutes	Sporacetigenium
Firmicutes	Sporanaerobacter
Actinobacteria	Sporichthya
Firmicutes	Sporobacter
Bacteroidetes	Sporocytophaga
Firmicutes	Sporolactobacillus
Firmicutes	Sporolituus
Firmicutes	Sporomusa
Firmicutes	Sporosarcina
Firmicutes	Sporotalea
Firmicutes	Sporotomaculum
Actinobacteria	Stackebrandtia
Proteobacteria	Stakelama
Cyanobacteria	Stanieria
Firmicutes	Staphylococcus
Crenarchaeota	Staphylothermus
Proteobacteria	Stappia
Proteobacteria	Starkeya
Proteobacteria	Stella
Proteobacteria	Stenotrophomonas
Proteobacteria	Stenoxybacter
Proteobacteria	Steroidobacter
Proteobacteria	Sterolibacterium
Crenarchaeota	Stetteria
Proteobacteria	Stigmatella
Cyanobacteria	Stigonema
Actinobacteria	Streptacidiphilus
Actinobacteria	Streptoalloteichus
Fusobacteria	Streptobacillus
Firmicutes	Streptococcus
Actinobacteria	Streptomonospora
Actinobacteria	Streptomyces
Actinobacteria	Streptosporangium
Crenarchaeota	Stygiolobus
Firmicutes	Subdoligranulum
Bacteroidetes	Subsaxibacter
Bacteroidetes	Subsaximicrobium
Actinobacteria	Subtercola
Proteobacteria	Succinatimonas
Firmicutes	Succiniclasticum
Proteobacteria	Succinimonas
Firmicutes	Succinispira
Proteobacteria	Succinivibrio
Bacteroidetes	Sufflavibacter
Proteobacteria	Sulfitobacter
Firmicutes	Sulfobacillus
Crenarchaeota	Sulfolobus
Crenarchaeota	Sulfophobococcus
Proteobacteria	Sulfuricella
Proteobacteria	Sulfuricurvum
Aquificae	Sulfurihydrogenibium
Proteobacteria	Sulfurimonas
Crenarchaeota	Sulfurisphaera
Proteobacteria	Sulfuritalea
Proteobacteria	Sulfurivirga
Proteobacteria	Sulfurospirillum
Proteobacteria	Sulfurovum
Proteobacteria	Sutterella
Proteobacteria	Suttonella
Proteobacteria	Swaminathania
Firmicutes	Symbiobacterium
Cyanobacteria	Symploca
Cyanobacteria	Synechococcus
Synergistetes	Synergistes
Firmicutes	Syntrophaceticus
Proteobacteria	Syntrophobacter
Firmicutes	Syntrophobotulus
Firmicutes	Syntrophococcus
Firmicutes	Syntrophomonas
Proteobacteria	Syntrophorhabdus
Firmicutes	Syntrophothermus
Proteobacteria	Syntrophus
Bacteroidetes	Tamlana
Bacteroidetes	Tannerella
Proteobacteria	Tanticharoenia
Proteobacteria	Tateyamaria
Proteobacteria	Tatumella
Proteobacteria	Taylorella
Proteobacteria	Telluria
Acidobacteria	Telmatobacter
Proteobacteria	Telmatospirillum
Bacteroidetes	Tenacibaculum
Firmicutes	Tenuibacillus
Proteobacteria	Tepidamorphus
Firmicutes	Tepidanaerobacter
Firmicutes	Tepidibacter
Proteobacteria	Tepidicella
Firmicutes	Tepidimicrobium
Proteobacteria	Tepidimonas
Proteobacteria	Tepidiphilus
Proteobacteria	Teredinibacter
Actinobacteria	Terrabacter
Actinobacteria	Terracoccus
Firmicutes	Terribacillus
Acidobacteria	Terriglobus
Bacteroidetes	Terrimonas
Actinobacteria	Tessaracoccus
Firmicutes	Tetragenococcus
Actinobacteria	Tetrasphaera
Firmicutes	Thalassobacillus
Proteobacteria	Thalassobacter
Proteobacteria	Thalassobaculum
Proteobacteria	Thalassobius
Proteobacteria	Thalassococcus
Proteobacteria	Thalassolituus
Proteobacteria	Thalassomonas
Proteobacteria	Thalassospira
Proteobacteria	Thauera
Firmicutes	Thermacetogenium
Firmicutes	Thermaerobacter
Firmicutes	Thermanaeromonas
Chloroflexi	Thermanaerothrix
Synergistetes	Thermanaerovibrio
Actinobacteria	Thermasporomyces
Firmicutes	Thermicanus
Firmicutes	Thermincola
Proteobacteria	Thermithiobacillus
Firmicutes	Thermoactinomyces
Firmicutes	Thermoanaerobacter
Firmicutes	Thermoanaerobacterium
Firmicutes	Thermobacillus
Chloroflexi	Thermobaculum
Actinobacteria	Thermobifida
Actinobacteria	Thermobispora
Firmicutes	Thermobrachium
Crenarchaeota	Thermocladium
Euryarchaeota	Thermococcus
Aquificae	Thermocrinis
Actinobacteria	Thermocrispum
Thermodesulfobacteria	Thermodesulfatator
Thermodesulfobacteria	Thermodesulfobacterium
Firmicutes	Thermodesulfobium
Proteobacteria	Thermodesulforhabdus
Nitrospirae	Thermodesulfovibrio
Crenarchaeota	Thermodiscus
Crenarchaeota	Thermofilum
Firmicutes	Thermoflavimicrobium
Chloroflexi	Thermogemmatispora
Euryarchaeota	Thermogymnomonas
Firmicutes	Thermohalobacter
Actinobacteria	Thermoleophilum
Firmicutes	Thermolithobacter
Chloroflexi	Thermomicrobium
Proteobacteria	Thermomonas
Actinobacteria	Thermomonospora
Bacteroidetes	Thermonema
Euryarchaeota	Thermoplasma
Actinobacteria	Thermopolyspora
Crenarchaeota	Thermoproteus
Firmicutes	Thermosediminibacter
Firmicutes	Thermosinus
Thermotogae	Thermosipho
Crenarchaeota	Thermosphaera
Chloroflexi	Thermosporothrix
Cyanobacteria	Thermosynechococcus
Firmicutes	Thermosyntropha
Firmicutes	Thermotalea
Thermotogae	Thermotoga
Firmicutes	Thermovenabulum
Aquificae	Thermovibrio
Synergistetes	Thermovirga
Proteobacteria	Thermovum
Deinococcus-Thermus	Thermus
Proteobacteria	Thioalkalibacter
Proteobacteria	Thioalkalicoccus
Proteobacteria	Thioalkalimicrobium
Proteobacteria	Thioalkalispira
Proteobacteria	Thioalkalivibrio
Proteobacteria	Thiobaca
Proteobacteria	Thiobacillus
Proteobacteria	Thiobacter
Proteobacteria	Thiocapsa
Proteobacteria	Thioclava
Proteobacteria	Thiococcus
Proteobacteria	Thiocystis
Proteobacteria	Thiofaba
Proteobacteria	Thioflavicoccus
Proteobacteria	Thiohalobacter
Proteobacteria	Thiohalocapsa
Proteobacteria	Thiohalomonas
Proteobacteria	Thiohalophilus
Proteobacteria	Thiohalorhabdus
Proteobacteria	Thiohalospira
Proteobacteria	Thiolamprovum
Proteobacteria	Thiomargarita
Proteobacteria	Thiomicrospira
Proteobacteria	Thiomonas
Proteobacteria	Thiophaeococcus
Proteobacteria	Thioploca
Proteobacteria	Thioprofundum
Proteobacteria	Thioreductor
Proteobacteria	Thiorhodococcus
Proteobacteria	Thiorhodospira
Proteobacteria	Thiorhodovibrio
Proteobacteria	Thiothrix
Proteobacteria	Thiovirga
Proteobacteria	Thorsellia
Firmicutes	Tindallia
Firmicutes	Tissierella
Proteobacteria	Tistlia
Proteobacteria	Tistrella
Proteobacteria	Tolumonas
Actinobacteria	Tomitella
Proteobacteria	Trabulsiella
Proteobacteria	Tranquillimonas
Spirochaetes	Treponema
Firmicutes	Trichococcus
Cyanobacteria	Trichocoleus
Cyanobacteria	Trichodesmium
Cyanobacteria	Trichormus
Actinobacteria	Tropheryma
Proteobacteria	Tropicibacter
Proteobacteria	Tropicimonas
Deinococcus-Thermus	Truepera
Actinobacteria	Trueperella
Actinobacteria	Tsukamurella
Firmicutes	Tuberibacillus
Firmicutes	Tumebacillus
Bacteroidetes	Tunicatimonas
Actinobacteria	Turicella
Firmicutes	Turicibacter
Spirochaetes	Turneriella
Proteobacteria	Uliginosibacterium
Bacteroidetes	Ulvibacter
Proteobacteria	Umboniibacter
Actinobacteria	Umezawaea
Proteobacteria	Undibacterium
Tenericutes	Ureaplasma
Firmicutes	Ureibacillus
Proteobacteria	Uruburuella
Proteobacteria	Vadicella
Firmicutes	Vagococcus
Proteobacteria	Vampirovibrio
Actinobacteria	Varibaculum
Proteobacteria	Variovorax
Proteobacteria	Vasilyevaea
Firmicutes	Veillonella
Aquificae	Venenivibrio
Proteobacteria	Verminephrobacter
Verrucomicrobia	Verrucomicrobium
Actinobacteria	Verrucosispora
Proteobacteria	Vibrio
Lentisphaerae	Victivallis
Firmicutes	Virgibacillus
Actinobacteria	Virgisporangium
Firmicutes	Viridibacillus
Bacteroidetes	Vitellibacter
Proteobacteria	Vitreoscilla
Proteobacteria	Vogesella
Proteobacteria	Volucribacter
Firmicutes	Vulcanibacillus
Crenarchaeota	Vulcanisaeta
Deinococcus-Thermus	Vulcanithermus
Chlamydiae	Waddlia
Bacteroidetes	Wandonia
Bacteroidetes	Wautersiella
Bacteroidetes	Weeksella
Firmicutes	Weissella
Proteobacteria	Wenxinia
Proteobacteria	Wigglesworthia
Actinobacteria	Williamsia
Bacteroidetes	Winogradskyella
Proteobacteria	Wohlfahrtiimonas
Proteobacteria	Wolbachia
Proteobacteria	Wolinella
Proteobacteria	Woodsholea
Proteobacteria	Xanthobacter
Proteobacteria	Xanthomonas
Cyanobacteria	Xenococcus
Proteobacteria	Xenophilus
Proteobacteria	Xenorhabdus
Bacteroidetes	Xylanibacter
Actinobacteria	Xylanibacterium
Actinobacteria	Xylanimicrobium
Actinobacteria	Xylanimonas
Proteobacteria	Xylella
Proteobacteria	Xylophilus
Proteobacteria	Yangia
Actinobacteria	Yaniella
Bacteroidetes	Yeosuana
Proteobacteria	Yersinia
Actinobacteria	Yimella
Proteobacteria	Yokenella
Actinobacteria	Yonghaparkia
Planctomycetes	Zavarzinella
Bacteroidetes	Zeaxanthinibacter
Actinobacteria	Zhihengliuella
Bacteroidetes	Zhouia
Actinobacteria	Zimmermannella
Proteobacteria	Zobellella
Bacteroidetes	Zobellia
Proteobacteria	Zoogloea
Proteobacteria	Zooshikella
Bacteroidetes	Zunongwangia
Proteobacteria	Zymobacter
Proteobacteria	Zymomonas
Firmicutes	Zymophilus
Unknown	Unknown
Unclassified	Unclassified
Environmental	Environmental
	
